trip_name,counts
Harry Bridges Plaza (Ferry Building) - 2nd at Townsend,4990
San Francisco Caltrain (Townsend at 4th) - Temporary Transbay Terminal (Howard at Beale),4317
San Francisco Caltrain 2 (330 Townsend) - Townsend at 7th,4252
Steuart at Market - 2nd at Townsend,4171
Harry Bridges Plaza (Ferry Building) - Embarcadero at Sansome,3797
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Folsom,3722
Market at Sansome - 2nd at South Park,3500
San Francisco Caltrain (Townsend at 4th) - Harry Bridges Plaza (Ferry Building),3465
Steuart at Market - Embarcadero at Sansome,3197
San Francisco Caltrain (Townsend at 4th) - Steuart at Market,3153
San Francisco Caltrain (Townsend at 4th) - Market at Sansome,3119
Mountain View Caltrain Station - Mountain View City Hall,2992
Civic Center BART (7th at Market) - Townsend at 7th,2980
San Francisco Caltrain (Townsend at 4th) - Howard at 2nd,2935
San Francisco Caltrain 2 (330 Townsend) - Market at 10th,2854
Powell Street BART - San Francisco Caltrain 2 (330 Townsend),2678
San Francisco Caltrain 2 (330 Townsend) - 5th at Howard,2596
Temporary Transbay Terminal (Howard at Beale) - 2nd at Townsend,2362
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Folsom,2344
San Francisco Caltrain 2 (330 Townsend) - Howard at 2nd,2302
San Francisco Caltrain (Townsend at 4th) - Davis at Jackson,2105
San Jose Diridon Caltrain Station - Santa Clara at Almaden,2019
San Francisco Caltrain 2 (330 Townsend) - Steuart at Market,1969
Harry Bridges Plaza (Ferry Building) - San Francisco Caltrain (Townsend at 4th),1949
San Francisco Caltrain 2 (330 Townsend) - Temporary Transbay Terminal (Howard at Beale),1947
San Francisco Caltrain (Townsend at 4th) - Beale at Market,1855
San Francisco Caltrain 2 (330 Townsend) - Market at Sansome,1850
San Francisco Caltrain (Townsend at 4th) - Yerba Buena Center of the Arts (3rd @ Howard),1840
Embarcadero at Bryant - San Francisco Caltrain (Townsend at 4th),1809
Townsend at 7th - San Francisco Caltrain 2 (330 Townsend),1772
San Francisco Caltrain 2 (330 Townsend) - Harry Bridges Plaza (Ferry Building),1737
Market at Sansome - 2nd at Townsend,1697
2nd at Townsend - San Francisco Caltrain (Townsend at 4th),1663
San Francisco Caltrain (Townsend at 4th) - Market at 10th,1652
San Francisco Caltrain (Townsend at 4th) - Clay at Battery,1629
San Francisco Caltrain (Townsend at 4th) - Townsend at 7th,1581
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Vallejo,1572
Temporary Transbay Terminal (Howard at Beale) - 5th at Howard,1543
Market at 10th - Market at 4th,1520
Grant Avenue at Columbus Avenue - Embarcadero at Folsom,1464
Mountain View Caltrain Station - Castro Street and El Camino Real,1459
Temporary Transbay Terminal (Howard at Beale) - Townsend at 7th,1446
Temporary Transbay Terminal (Howard at Beale) - Commercial at Montgomery,1401
Beale at Market - Broadway St at Battery St,1400
Townsend at 7th - San Francisco Caltrain (Townsend at 4th),1398
Temporary Transbay Terminal (Howard at Beale) - Broadway St at Battery St,1385
San Francisco Caltrain (Townsend at 4th) - Mechanics Plaza (Market at Battery),1372
Harry Bridges Plaza (Ferry Building) - 2nd at South Park,1367
Harry Bridges Plaza (Ferry Building) - Townsend at 7th,1362
San Francisco Caltrain (Townsend at 4th) - 2nd at Folsom,1329
Temporary Transbay Terminal (Howard at Beale) - San Francisco Caltrain (Townsend at 4th),1319
Steuart at Market - San Francisco Caltrain (Townsend at 4th),1316
Grant Avenue at Columbus Avenue - San Francisco Caltrain (Townsend at 4th),1299
Grant Avenue at Columbus Avenue - Market at Sansome,1298
2nd at Townsend - Harry Bridges Plaza (Ferry Building),1234
Market at 10th - San Francisco Caltrain (Townsend at 4th),1220
San Jose Diridon Caltrain Station - San Pedro Square,1216
Market at 4th - San Francisco Caltrain (Townsend at 4th),1185
Steuart at Market - Townsend at 7th,1175
Temporary Transbay Terminal (Howard at Beale) - Embarcadero at Vallejo,1171
San Antonio Caltrain Station - San Antonio Shopping Center,1160
Embarcadero at Sansome - Steuart at Market,1159
Temporary Transbay Terminal (Howard at Beale) - Market at 4th,1118
2nd at Townsend - Steuart at Market,1056
2nd at South Park - San Francisco Caltrain (Townsend at 4th),1055
Powell Street BART - San Francisco Caltrain (Townsend at 4th),1049
San Francisco Caltrain (Townsend at 4th) - Commercial at Montgomery,1048
Harry Bridges Plaza (Ferry Building) - Market at Sansome,1041
San Francisco Caltrain 2 (330 Townsend) - Powell Street BART,1039
Steuart at Market - Embarcadero at Vallejo,1038
Market at 10th - San Francisco Caltrain 2 (330 Townsend),1019
2nd at Folsom - San Francisco Caltrain (Townsend at 4th),1019
Embarcadero at Sansome - Temporary Transbay Terminal (Howard at Beale),1011
South Van Ness at Market - Market at Sansome,999
San Francisco Caltrain 2 (330 Townsend) - Yerba Buena Center of the Arts (3rd @ Howard),999
Harry Bridges Plaza (Ferry Building) - Howard at 2nd,977
Temporary Transbay Terminal (Howard at Beale) - 2nd at South Park,970
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Sansome,962
San Francisco Caltrain 2 (330 Townsend) - Davis at Jackson,957
Embarcadero at Sansome - Harry Bridges Plaza (Ferry Building),949
Evelyn Park and Ride - Mountain View Caltrain Station,937
San Francisco Caltrain (Townsend at 4th) - Spear at Folsom,929
Market at Sansome - 2nd at Folsom,921
2nd at Townsend - Townsend at 7th,912
Embarcadero at Bryant - Embarcadero at Vallejo,912
San Francisco Caltrain 2 (330 Townsend) - 2nd at Folsom,898
Harry Bridges Plaza (Ferry Building) - 2nd at Folsom,896
Grant Avenue at Columbus Avenue - Beale at Market,896
San Francisco Caltrain (Townsend at 4th) - 5th at Howard,895
Temporary Transbay Terminal (Howard at Beale) - Clay at Battery,891
2nd at Townsend - Howard at 2nd,890
Embarcadero at Folsom - San Francisco Caltrain (Townsend at 4th),879
San Francisco Caltrain (Townsend at 4th) - Post at Kearny,870
Beale at Market - Embarcadero at Vallejo,870
Market at 10th - Market at Sansome,868
Temporary Transbay Terminal (Howard at Beale) - Embarcadero at Sansome,862
San Jose Diridon Caltrain Station - Adobe on Almaden,851
San Francisco Caltrain (Townsend at 4th) - Broadway St at Battery St,844
Beale at Market - Commercial at Montgomery,821
San Francisco Caltrain 2 (330 Townsend) - Beale at Market,816
Embarcadero at Bryant - Embarcadero at Sansome,808
Embarcadero at Bryant - Harry Bridges Plaza (Ferry Building),808
Harry Bridges Plaza (Ferry Building) - San Francisco Caltrain 2 (330 Townsend),799
Powell at Post (Union Square) - Howard at 2nd,789
Ryland Park - San Jose Diridon Caltrain Station,778
Embarcadero at Bryant - Embarcadero at Folsom,771
San Francisco Caltrain 2 (330 Townsend) - Broadway St at Battery St,761
Beale at Market - 2nd at Townsend,760
Steuart at Market - 2nd at South Park,760
Japantown - San Jose Diridon Caltrain Station,753
Beale at Market - Temporary Transbay Terminal (Howard at Beale),745
2nd at Townsend - Temporary Transbay Terminal (Howard at Beale),744
Embarcadero at Sansome - Beale at Market,740
Embarcadero at Bryant - Mechanics Plaza (Market at Battery),740
Temporary Transbay Terminal (Howard at Beale) - Market at 10th,738
Palo Alto Caltrain Station - Cowper at University,735
Embarcadero at Folsom - 2nd at Townsend,734
San Francisco Caltrain 2 (330 Townsend) - Mechanics Plaza (Market at Battery),734
Temporary Transbay Terminal (Howard at Beale) - South Van Ness at Market,733
Harry Bridges Plaza (Ferry Building) - Yerba Buena Center of the Arts (3rd @ Howard),730
Steuart at Market - Embarcadero at Folsom,727
Spear at Folsom - 2nd at Townsend,719
San Francisco Caltrain (Townsend at 4th) - South Van Ness at Market,716
Grant Avenue at Columbus Avenue - Temporary Transbay Terminal (Howard at Beale),716
San Francisco Caltrain (Townsend at 4th) - Market at 4th,714
2nd at Townsend - Embarcadero at Folsom,712
Mountain View City Hall - Mountain View Caltrain Station,700
San Francisco Caltrain 2 (330 Townsend) - South Van Ness at Market,696
Spear at Folsom - San Francisco Caltrain (Townsend at 4th),690
Grant Avenue at Columbus Avenue - Clay at Battery,689
Broadway St at Battery St - San Francisco Caltrain (Townsend at 4th),673
2nd at South Park - Market at Sansome,670
5th at Howard - San Francisco Caltrain 2 (330 Townsend),667
Embarcadero at Bryant - Commercial at Montgomery,665
Temporary Transbay Terminal (Howard at Beale) - Golden Gate at Polk,662
Howard at 2nd - San Francisco Caltrain (Townsend at 4th),662
Temporary Transbay Terminal (Howard at Beale) - Civic Center BART (7th at Market),661
Embarcadero at Sansome - Clay at Battery,657
Harry Bridges Plaza (Ferry Building) - Embarcadero at Vallejo,651
Civic Center BART (7th at Market) - South Van Ness at Market,643
San Francisco Caltrain 2 (330 Townsend) - Post at Kearny,641
Beale at Market - Embarcadero at Sansome,635
Redwood City Caltrain Station - Stanford in Redwood City,625
Golden Gate at Polk - Townsend at 7th,624
Embarcadero at Folsom - Embarcadero at Sansome,622
San Francisco Caltrain 2 (330 Townsend) - Market at 4th,614
San Jose Diridon Caltrain Station - MLK Library,611
Santa Clara at Almaden - San Jose Diridon Caltrain Station,600
Harry Bridges Plaza (Ferry Building) - 5th at Howard,599
Davis at Jackson - 2nd at Townsend,587
Powell at Post (Union Square) - San Francisco Caltrain (Townsend at 4th),579
Embarcadero at Bryant - Steuart at Market,577
Grant Avenue at Columbus Avenue - Market at 4th,573
San Francisco Caltrain 2 (330 Townsend) - Clay at Battery,569
Castro Street and El Camino Real - Mountain View Caltrain Station,569
2nd at Townsend - Clay at Battery,563
San Francisco Caltrain 2 (330 Townsend) - Commercial at Montgomery,556
2nd at Townsend - Market at Sansome,554
Broadway St at Battery St - Steuart at Market,548
Townsend at 7th - Temporary Transbay Terminal (Howard at Beale),546
Powell Street BART - Market at Sansome,544
Grant Avenue at Columbus Avenue - Steuart at Market,542
2nd at Townsend - Embarcadero at Vallejo,536
2nd at Townsend - San Francisco Caltrain 2 (330 Townsend),536
Temporary Transbay Terminal (Howard at Beale) - Mechanics Plaza (Market at Battery),535
San Francisco Caltrain (Townsend at 4th) - Powell Street BART,533
San Jose Diridon Caltrain Station - St James Park,531
Paseo de San Antonio - San Jose Diridon Caltrain Station,530
Townsend at 7th - South Van Ness at Market,529
Townsend at 7th - Howard at 2nd,522
Grant Avenue at Columbus Avenue - 2nd at Townsend,522
Steuart at Market - San Francisco Caltrain 2 (330 Townsend),522
Golden Gate at Polk - San Francisco Caltrain 2 (330 Townsend),519
Beale at Market - San Francisco Caltrain (Townsend at 4th),519
Powell Street BART - Townsend at 7th,517
2nd at Folsom - Market at Sansome,513
Harry Bridges Plaza (Ferry Building) - Mechanics Plaza (Market at Battery),512
Golden Gate at Polk - San Francisco Caltrain (Townsend at 4th),512
Embarcadero at Sansome - San Francisco Caltrain (Townsend at 4th),512
Steuart at Market - Howard at 2nd,510
San Francisco Caltrain 2 (330 Townsend) - Spear at Folsom,508
Market at 4th - San Francisco Caltrain 2 (330 Townsend),508
2nd at Townsend - Spear at Folsom,504
Spear at Folsom - Townsend at 7th,503
Harry Bridges Plaza (Ferry Building) - Temporary Transbay Terminal (Howard at Beale),503
Steuart at Market - Embarcadero at Bryant,501
South Van Ness at Market - Post at Kearny,498
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Vallejo,496
Steuart at Market - Broadway St at Battery St,496
Temporary Transbay Terminal (Howard at Beale) - San Francisco Caltrain 2 (330 Townsend),491
Beale at Market - 2nd at South Park,489
Embarcadero at Sansome - 2nd at Townsend,487
Civic Center BART (7th at Market) - San Francisco Caltrain (Townsend at 4th),485
Civic Center BART (7th at Market) - Market at Sansome,484
Embarcadero at Bryant - Clay at Battery,482
2nd at South Park - Howard at 2nd,481
Powell at Post (Union Square) - Townsend at 7th,481
Market at 10th - Post at Kearny,480
Steuart at Market - Spear at Folsom,477
Beale at Market - Spear at Folsom,476
South Van Ness at Market - Townsend at 7th,471
2nd at Townsend - 2nd at Folsom,468
Civic Center BART (7th at Market) - San Francisco Caltrain 2 (330 Townsend),467
San Jose Diridon Caltrain Station - San Jose City Hall,466
Harry Bridges Plaza (Ferry Building) - Market at 4th,465
Spear at Folsom - Commercial at Montgomery,465
Market at 10th - Mechanics Plaza (Market at Battery),462
5th at Howard - San Francisco Caltrain (Townsend at 4th),462
Davis at Jackson - San Francisco Caltrain (Townsend at 4th),462
Yerba Buena Center of the Arts (3rd @ Howard) - San Francisco Caltrain (Townsend at 4th),461
Powell at Post (Union Square) - San Francisco Caltrain 2 (330 Townsend),457
Grant Avenue at Columbus Avenue - Spear at Folsom,456
Market at 10th - Powell Street BART,445
MLK Library - San Jose Diridon Caltrain Station,444
Harry Bridges Plaza (Ferry Building) - Harry Bridges Plaza (Ferry Building),442
Howard at 2nd - 5th at Howard,434
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Sansome,434
San Francisco Caltrain 2 (330 Townsend) - Civic Center BART (7th at Market),434
Powell at Post (Union Square) - Embarcadero at Sansome,428
Grant Avenue at Columbus Avenue - Powell Street BART,425
San Francisco Caltrain (Townsend at 4th) - 2nd at Townsend,423
2nd at Folsom - Temporary Transbay Terminal (Howard at Beale),423
Civic Center BART (7th at Market) - Market at 10th,422
2nd at South Park - Embarcadero at Vallejo,422
South Van Ness at Market - Powell Street BART,420
Grant Avenue at Columbus Avenue - Commercial at Montgomery,420
Market at Sansome - San Francisco Caltrain (Townsend at 4th),420
South Van Ness at Market - Market at 4th,418
Market at 4th - Market at 10th,417
Powell Street BART - Market at 10th,415
Harry Bridges Plaza (Ferry Building) - Powell Street BART,415
Temporary Transbay Terminal (Howard at Beale) - Howard at 2nd,411
Embarcadero at Bryant - Townsend at 7th,406
San Francisco Caltrain (Townsend at 4th) - Golden Gate at Polk,406
Market at Sansome - Commercial at Montgomery,401
Townsend at 7th - 2nd at Folsom,400
Embarcadero at Sansome - Davis at Jackson,400
Market at 10th - Yerba Buena Center of the Arts (3rd @ Howard),400
Commercial at Montgomery - Yerba Buena Center of the Arts (3rd @ Howard),400
Mechanics Plaza (Market at Battery) - Commercial at Montgomery,398
Palo Alto Caltrain Station - Park at Olive,397
Golden Gate at Polk - Yerba Buena Center of the Arts (3rd @ Howard),394
Embarcadero at Sansome - Embarcadero at Folsom,389
San Francisco City Hall - San Francisco Caltrain 2 (330 Townsend),389
2nd at Folsom - Clay at Battery,384
Grant Avenue at Columbus Avenue - Mechanics Plaza (Market at Battery),384
Temporary Transbay Terminal (Howard at Beale) - Market at Sansome,380
Market at Sansome - Embarcadero at Sansome,380
San Francisco Caltrain (Townsend at 4th) - 2nd at South Park,377
Howard at 2nd - 2nd at Townsend,375
2nd at South Park - Post at Kearny,374
Civic Center BART (7th at Market) - Embarcadero at Sansome,373
South Van Ness at Market - San Francisco Caltrain (Townsend at 4th),373
Temporary Transbay Terminal (Howard at Beale) - Powell Street BART,371
Embarcadero at Sansome - Mechanics Plaza (Market at Battery),368
San Francisco Caltrain 2 (330 Townsend) - Golden Gate at Polk,366
Mechanics Plaza (Market at Battery) - Embarcadero at Folsom,364
Embarcadero at Sansome - Market at Sansome,362
Grant Avenue at Columbus Avenue - San Francisco Caltrain 2 (330 Townsend),361
San Antonio Shopping Center - San Antonio Caltrain Station,359
Cowper at University - Palo Alto Caltrain Station,358
SJSU - San Salvador at 9th - San Jose Diridon Caltrain Station,358
Civic Center BART (7th at Market) - Market at 4th,356
Harry Bridges Plaza (Ferry Building) - Market at 10th,356
Golden Gate at Polk - Market at Sansome,353
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Bryant,352
Davis at Jackson - Commercial at Montgomery,352
Palo Alto Caltrain Station - California Ave Caltrain Station,351
2nd at Townsend - Davis at Jackson,350
South Van Ness at Market - Embarcadero at Sansome,350
Embarcadero at Sansome - Powell Street BART,348
Mechanics Plaza (Market at Battery) - Market at 4th,345
Powell at Post (Union Square) - Davis at Jackson,344
Temporary Transbay Terminal (Howard at Beale) - Yerba Buena Center of the Arts (3rd @ Howard),344
Howard at 2nd - 2nd at South Park,342
Davis at Jackson - Davis at Jackson,341
5th at Howard - Market at 4th,336
Washington at Kearny - Powell Street BART,335
Townsend at 7th - Market at Sansome,333
San Francisco Caltrain (Townsend at 4th) - Civic Center BART (7th at Market),333
2nd at Townsend - Beale at Market,327
Civic Center BART (7th at Market) - Steuart at Market,326
5th at Howard - Market at Sansome,325
Yerba Buena Center of the Arts (3rd @ Howard) - 5th at Howard,324
2nd at South Park - Townsend at 7th,323
Embarcadero at Bryant - San Francisco Caltrain 2 (330 Townsend),322
2nd at Folsom - 2nd at Townsend,321
Townsend at 7th - Powell Street BART,321
Rengstorff Avenue / California Street - Mountain View Caltrain Station,320
Temporary Transbay Terminal (Howard at Beale) - Grant Avenue at Columbus Avenue,320
Powell Street BART - Beale at Market,317
San Jose Diridon Caltrain Station - Paseo de San Antonio,317
Embarcadero at Sansome - Embarcadero at Sansome,316
South Van Ness at Market - Mechanics Plaza (Market at Battery),315
Grant Avenue at Columbus Avenue - Harry Bridges Plaza (Ferry Building),315
Spear at Folsom - San Francisco Caltrain 2 (330 Townsend),315
2nd at Folsom - Spear at Folsom,313
Clay at Battery - San Francisco Caltrain (Townsend at 4th),313
Embarcadero at Folsom - Townsend at 7th,311
Townsend at 7th - Harry Bridges Plaza (Ferry Building),311
Market at 10th - Townsend at 7th,310
Market at Sansome - Townsend at 7th,309
Commercial at Montgomery - Powell Street BART,305
2nd at Townsend - Broadway St at Battery St,305
2nd at Townsend - Market at 4th,303
Harry Bridges Plaza (Ferry Building) - Post at Kearny,303
2nd at South Park - San Francisco Caltrain 2 (330 Townsend),303
Powell at Post (Union Square) - Beale at Market,302
Market at 4th - Embarcadero at Sansome,302
5th at Howard - Steuart at Market,301
5th at Howard - Commercial at Montgomery,301
Santa Clara at Almaden - SJSU 4th at San Carlos,295
Harry Bridges Plaza (Ferry Building) - Embarcadero at Bryant,292
Market at Sansome - Broadway St at Battery St,291
Steuart at Market - Mechanics Plaza (Market at Battery),290
Embarcadero at Vallejo - Embarcadero at Sansome,289
Market at 4th - 5th at Howard,288
San Francisco Caltrain 2 (330 Townsend) - 2nd at South Park,288
Howard at 2nd - Market at 4th,286
Powell at Post (Union Square) - Market at 10th,286
Yerba Buena Center of the Arts (3rd @ Howard) - Market at 10th,284
Beale at Market - Davis at Jackson,282
Powell at Post (Union Square) - Market at Sansome,282
Spear at Folsom - Mechanics Plaza (Market at Battery),282
Spear at Folsom - Harry Bridges Plaza (Ferry Building),280
Grant Avenue at Columbus Avenue - Townsend at 7th,279
Market at 4th - 2nd at South Park,278
Mountain View Caltrain Station - Evelyn Park and Ride,278
Powell at Post (Union Square) - Powell at Post (Union Square),278
Clay at Battery - Powell Street BART,276
Ryland Park - Santa Clara County Civic Center,276
San Pedro Square - San Jose Diridon Caltrain Station,273
Harry Bridges Plaza (Ferry Building) - Commercial at Montgomery,272
Spear at Folsom - Embarcadero at Sansome,271
Market at 10th - Civic Center BART (7th at Market),271
Embarcadero at Sansome - Spear at Folsom,269
Golden Gate at Polk - Steuart at Market,269
Steuart at Market - Clay at Battery,267
Market at 10th - Beale at Market,266
Market at 4th - Townsend at 7th,266
Powell Street BART - 5th at Howard,265
Davis at Jackson - Embarcadero at Sansome,265
Embarcadero at Bryant - 2nd at Townsend,263
2nd at Townsend - Embarcadero at Sansome,261
Powell at Post (Union Square) - Broadway St at Battery St,261
Redwood City Caltrain Station - Redwood City Medical Center,261
Broadway St at Battery St - Mechanics Plaza (Market at Battery),259
5th at Howard - Post at Kearny,258
2nd at Townsend - Mechanics Plaza (Market at Battery),258
San Francisco Caltrain 2 (330 Townsend) - Washington at Kearny,257
Civic Center BART (7th at Market) - Beale at Market,256
Spear at Folsom - 2nd at South Park,255
Townsend at 7th - Market at 10th,254
Broadway St at Battery St - Clay at Battery,254
Embarcadero at Bryant - Temporary Transbay Terminal (Howard at Beale),253
Powell Street BART - Embarcadero at Sansome,252
Mechanics Plaza (Market at Battery) - South Van Ness at Market,252
Market at Sansome - Howard at 2nd,246
Golden Gate at Polk - Beale at Market,246
2nd at Townsend - Commercial at Montgomery,246
Golden Gate at Polk - 5th at Howard,245
5th at Howard - Market at 10th,245
Davis at Jackson - Spear at Folsom,245
Temporary Transbay Terminal (Howard at Beale) - Harry Bridges Plaza (Ferry Building),244
Golden Gate at Polk - Market at 10th,242
2nd at Folsom - Townsend at 7th,242
SJSU - San Salvador at 9th - Paseo de San Antonio,242
Embarcadero at Folsom - Embarcadero at Vallejo,241
Mechanics Plaza (Market at Battery) - Civic Center BART (7th at Market),240
Grant Avenue at Columbus Avenue - Market at 10th,239
Powell at Post (Union Square) - Mechanics Plaza (Market at Battery),239
Rengstorff Avenue / California Street - San Antonio Caltrain Station,238
Beale at Market - San Francisco Caltrain 2 (330 Townsend),238
Townsend at 7th - Post at Kearny,236
Market at 4th - Market at Sansome,236
San Jose Civic Center - San Jose Diridon Caltrain Station,236
South Van Ness at Market - Spear at Folsom,231
Grant Avenue at Columbus Avenue - 2nd at South Park,231
Powell Street BART - South Van Ness at Market,231
Howard at 2nd - Townsend at 7th,230
South Van Ness at Market - 2nd at South Park,230
Temporary Transbay Terminal (Howard at Beale) - Steuart at Market,230
Powell at Post (Union Square) - Steuart at Market,229
Powell at Post (Union Square) - Washington at Kearny,228
Powell at Post (Union Square) - Harry Bridges Plaza (Ferry Building),228
Embarcadero at Folsom - San Francisco Caltrain 2 (330 Townsend),227
Broadway St at Battery St - Beale at Market,225
Spear at Folsom - Steuart at Market,225
San Francisco Caltrain (Townsend at 4th) - Washington at Kearny,225
South Van Ness at Market - San Francisco Caltrain 2 (330 Townsend),225
San Francisco Caltrain 2 (330 Townsend) - 2nd at Townsend,223
San Salvador at 1st - MLK Library,222
Powell at Post (Union Square) - Yerba Buena Center of the Arts (3rd @ Howard),220
Market at 10th - Powell at Post (Union Square),219
St James Park - San Jose Diridon Caltrain Station,219
Market at 10th - Howard at 2nd,217
Civic Center BART (7th at Market) - Mechanics Plaza (Market at Battery),216
Powell at Post (Union Square) - 5th at Howard,215
South Van Ness at Market - Beale at Market,215
Powell at Post (Union Square) - 2nd at South Park,214
Howard at 2nd - Embarcadero at Folsom,214
Grant Avenue at Columbus Avenue - Embarcadero at Sansome,213
University and Emerson - University and Emerson,213
Embarcadero at Bryant - Broadway St at Battery St,211
Market at Sansome - Yerba Buena Center of the Arts (3rd @ Howard),210
Market at 4th - Market at 4th,208
Embarcadero at Sansome - Embarcadero at Bryant,208
Santa Clara at Almaden - Arena Green / SAP Center,208
Market at 10th - 2nd at South Park,207
Commercial at Montgomery - Market at Sansome,207
San Francisco Caltrain (Townsend at 4th) - San Francisco Caltrain (Townsend at 4th),207
Powell Street BART - Powell Street BART,205
Market at 10th - 2nd at Townsend,204
Market at 4th - Harry Bridges Plaza (Ferry Building),204
Embarcadero at Folsom - 2nd at South Park,203
5th at Howard - Embarcadero at Sansome,203
2nd at South Park - Mechanics Plaza (Market at Battery),203
Temporary Transbay Terminal (Howard at Beale) - 2nd at Folsom,202
Washington at Kearny - 2nd at South Park,200
Temporary Transbay Terminal (Howard at Beale) - Post at Kearny,198
Mechanics Plaza (Market at Battery) - Davis at Jackson,196
South Van Ness at Market - Howard at 2nd,195
Civic Center BART (7th at Market) - Golden Gate at Polk,195
2nd at Folsom - Washington at Kearny,195
2nd at Folsom - Commercial at Montgomery,194
2nd at South Park - Market at 4th,193
Mezes Park - Redwood City Caltrain Station,193
